partnerid,country,stream,latitude,longitude,chnl_width_up,chnl_width_down,water_depth_up,water_depth_down,deploy_time,biome,biome_short
ED,IE,4,54.011546,-9.547908,2,2,0.4,0.4,33,Temperate Broadleaf & Mixed Forests,temp_broad
EG,AU,1,-13.117384,130.786082,1.5,1,30,30,21,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
EG,AU,2,-13.104469,130.794562,1.5,1.5,10,10,22,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
EG,AU,3,-13.199852,130.69988,3.5,2.5,35,25,22,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
EG,AU,4,-13.196333,130.699126,3,2,45,5,22,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
EP,NL,1,51.9738667,5.7171667,2.5,2.5,15,15,35,Temperate Broadleaf & Mixed Forests,temp_broad
EP,NL,2,51.9911,5.6547667,1,1,5,5,35,Temperate Broadleaf & Mixed Forests,temp_broad
EP,NL,3,51.9826,5.6107,2,2,15,15,35,Temperate Broadleaf & Mixed Forests,temp_broad
EP,NL,4,52.0147333,5.5999167,5,5,15,15,35,Temperate Broadleaf & Mixed Forests,temp_broad
EQ,BO,1,-16.1983111,-68.1181972,0.73,0.9,11.3,9,33,Montane Grasslands & Shrublands,mont_grass
EQ,BO,2,-16.2830611,-68.1133,0.75,0.85,10.6,10,33,Montane Grasslands & Shrublands,mont_grass
EQ,BO,3,-16.1398972,-68.2733194,1.25,1.07,12,11.33,33,Montane Grasslands & Shrublands,mont_grass
EQ,BO,4,-16.1480667,-68.2806056,1.39,1.2,24,14.3,33,Montane Grasslands & Shrublands,mont_grass
FB,CH,1,47.3026861,8.6094083,2.3,1.8,14,18,28,Temperate Broadleaf & Mixed Forests,temp_broad
FB,CH,2,47.3035,8.6082528,1.1,1,11,11,28,Temperate Broadleaf & Mixed Forests,temp_broad
FB,CH,3,47.3028917,8.6098139,1.8,1.3,15,15,28,Temperate Broadleaf & Mixed Forests,temp_broad
FB,CH,4,47.3122528,8.6040417,1.7,1.2,12,10,28,Temperate Broadleaf & Mixed Forests,temp_broad
FC,FR,1,43.5513611,5.5874167,2.9,2.6,18,13,20,"Mediterranean Forests, Woodlands & Scrub",mediter
FC,FR,2,43.5204722,5.5465,2.2,1.25,15,35,20,"Mediterranean Forests, Woodlands & Scrub",mediter
FC,FR,3,43.5173333,5.5866667,1.6,1.8,37,35,20,"Mediterranean Forests, Woodlands & Scrub",mediter
FG,KE,1,0.7140833,35.4240556,2.1,1.8,15,17,28,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
FG,KE,2,0.6415833,35.4944722,1.1,1.2,10,8,28,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
FG,KE,3,0.74475,35.4735833,1.87,2.2,19,13,28,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
FG,KE,4,0.82975,35.4480833,4.11,5.2,16,13,28,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
FM,UY,1,-33.9037194,-56.0062306,2.3,2.8,31,29,28,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
FM,UY,2,-33.7960944,-55.834525,2.8,5.3,34,35.5,28,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
FM,UY,3,-33.7362028,-55.6635722,4.6,1.4,21,14,28,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
FM,UY,4,-33.6764139,-55.652325,2.8,2.8,31.5,31,28,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
FRGU,FR,1,48.4769722,7.1743333,2.4,2.1,15,21,35,Temperate Broadleaf & Mixed Forests,temp_broad
FRGU,FR,2,48.5018333,7.1743333,1.95,1.7,14,17,35,Temperate Broadleaf & Mixed Forests,temp_broad
FRGU,FR,3,48.5129722,7.1206667,1.95,1.7,14,17,35,Temperate Broadleaf & Mixed Forests,temp_broad
FRGU,FR,4,48.49025,7.0538611,2.2,1.9,18,17,35,Temperate Broadleaf & Mixed Forests,temp_broad
GESI,KE,1,0.4981367,35.0031433,7,7.4,90,85,30,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
GESI,KE,2,0.63101,35.0674517,7.5,7.6,93,91,30,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
GESI,KE,3,0.7913967,34.9470383,6.2,6.4,75,72,30,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
GESI,KE,4,0.7867317,34.7679383,6.8,6.6,68,65,30,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
GR,RO,1,45.373268,25.55067,1.2,1.2,5,17,38,Temperate Conifer Forests,temp_conif
GR,RO,2,45.452672,25.634325,12,8,19,13,38,Temperate Conifer Forests,temp_conif
GR,RO,3,45.396863,25.567982,2.5,2.85,17,17,38,Temperate Conifer Forests,temp_conif
GR,RO,4,45.418,25.562826,1.95,2.05,10,8,,Temperate Conifer Forests,temp_conif
GS,HU,1,47.1119,17.7898389,2.3,2.1,10,12,35,Temperate Broadleaf & Mixed Forests,temp_broad
GS,HU,2,46.9957333,17.6518472,2.5,2.7,25,15,35,Temperate Broadleaf & Mixed Forests,temp_broad
GS,HU,3,46.9897667,17.8864194,0.7,0.6,6,8,35,Temperate Broadleaf & Mixed Forests,temp_broad
GS,HU,4,46.9872389,17.9182056,0.6,0.6,7,8,35,Temperate Broadleaf & Mixed Forests,temp_broad
HL,SE,1,64.252197,19.7763,0.13,0.2,4.5,4,31,Boreal Forests/Taiga,taiga
HL,SE,2,64.259399,19.773899,0.43,0.78,4.5,3.5,31,Boreal Forests/Taiga,taiga
HL,SE,3,64.260803,19.760401,0.81,0.57,16.5,9.9,31,Boreal Forests/Taiga,taiga
HL,SE,4,64.198097,19.869101,4.8,6.2,65,47,31,Boreal Forests/Taiga,taiga
HPG,DE,1,53.071374,13.026283,3.5,2.5,80,80,35,Temperate Broadleaf & Mixed Forests,temp_broad
HPG,DE,2,53.055068,12.915662,10,8,1.5,1.5,35,Temperate Broadleaf & Mixed Forests,temp_broad
HPG,DE,3,53.105155,13.055109,2.5,2.5,80,80,35,Temperate Broadleaf & Mixed Forests,temp_broad
HPG,DE,4,53.188708,13.090259,30,30,200,200,35,Temperate Broadleaf & Mixed Forests,temp_broad
IP,ES,1,39.7572694,2.7120278,1.6,1.2,12,9,22,"Mediterranean Forests, Woodlands & Scrub",mediter
IP,ES,2,39.8982028,2.9923472,1.8,2.2,12,10,22,"Mediterranean Forests, Woodlands & Scrub",mediter
IP,ES,3,39.8936472,2.9941417,1.9,2.9,16,22,22,"Mediterranean Forests, Woodlands & Scrub",mediter
IP,ES,4,39.8935806,2.9951917,3.4,3.2,8,9,22,"Mediterranean Forests, Woodlands & Scrub",mediter
JA,FI,1,62.3667667,25.0864333,5.8,5,20,10,35,Boreal Forests/Taiga,taiga
JA,FI,2,63.31445,24.79205,5.3,6.2,24,13,34,Boreal Forests/Taiga,taiga
JA,FI,3,63.4504333,25.2721833,7.2,6.2,34,16,34,Boreal Forests/Taiga,taiga
JA,FI,4,63.9835167,26.7284833,3.5,3.3,29,43,34,Boreal Forests/Taiga,taiga
JARU,CA,1,45.379975,-79.142175,0.3,0.8,4,5,36,Temperate Broadleaf & Mixed Forests,temp_broad
JARU,CA,2,45.1454417,-79.0890694,0.9,0.7,4,5,40,Temperate Broadleaf & Mixed Forests,temp_broad
JARU,CA,3,45.2226889,-78.9151778,3,1.5,8,9,36,Temperate Broadleaf & Mixed Forests,temp_broad
JARU,CA,4,45.1786611,-78.8279861,0.4,0.6,3,3,40,Temperate Broadleaf & Mixed Forests,temp_broad
JC,NZ,1,-41.1846722,173.4875806,3,6,40,20,28,Temperate Broadleaf & Mixed Forests,temp_broad
