partnerid,country,stream,latitude,longitude,chnl_width_up,chnl_width_down,water_depth_up,water_depth_down,deploy_time,biome,biome_short
KC,MX,2,17.46635,-93.1283167,5.7,4.9,12,10,22,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
KC,MX,3,18.2525,-92.8446833,4.7,4.2,9,7,22,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
KF,CA,1,50.9768833,-115.0820667,0.48,4,15,15,35,Temperate Conifer Forests,temp_conif
KF,CA,2,50.9722167,-115.0985167,1,1.25,5,8,35,Temperate Conifer Forests,temp_conif
KF,CA,3,50.93235,-115.1347483,5,5.15,22,18,35,Temperate Conifer Forests,temp_conif
KF,CA,4,50.8903833,-115.1361167,4.5,5,4.5,21,35,Temperate Conifer Forests,temp_conif
KK,US,1,31.05875,-89.2421111,8.27,4.4,37,34,29,Temperate Conifer Forests,temp_conif
KK,US,2,31.1020806,-89.2397889,3.65,5.7,32,44,29,Temperate Conifer Forests,temp_conif
KK,US,3,31.1037583,-89.2096611,6.35,4.55,18,25,29,Temperate Conifer Forests,temp_conif
KK,US,4,31.3505278,-89.4169722,2.1,1.5,14,22,26,Temperate Conifer Forests,temp_conif
KM,FI,1,62.855465,25.469201,0.25,0.8,0.2,0.15,36,Boreal Forests/Taiga,taiga
KM,FI,2,62.837,25.45957,1,0.95,0.15,0.15,36,Boreal Forests/Taiga,taiga
KM,FI,3,62.2044779,25.60775,0.95,0.5,0.1,0.1,36,Boreal Forests/Taiga,taiga
KM,FI,4,62.229638,25.569677,0.65,0.8,0.15,0.1,36,Boreal Forests/Taiga,taiga
KRS,IN,1,12.6201,75.1357,1.2,1.3,45,50,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
KRS,IN,2,12.6783333,75.1721667,1.5,1.5,50,55,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
KRS,IN,3,12.8006167,74.9273167,4.5,5,60,75,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
KRS,IN,4,12.9259333,74.8793333,8,10,110,135,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
LB,AU,1,-42.896531,147.264722,0.86,0.68,0.05,0.05,33,Temperate Broadleaf & Mixed Forests,temp_broad
LB,AU,2,-42.922052,147.252283,1.11,1.6,0.11,0.08,33,Temperate Broadleaf & Mixed Forests,temp_broad
LB,AU,3,-42.907978,147.264159,0.99,1.26,0.1,0.1,34,Temperate Broadleaf & Mixed Forests,temp_broad
LB,AU,4,-42.915404,147.329809,0.84,0.6,0.02,0.03,34,Temperate Broadleaf & Mixed Forests,temp_broad
LEB,UK,1,54.688925,-2.3833472,2.4,1.9,8.5,10,34,Temperate Broadleaf & Mixed Forests,temp_broad
LEB,UK,2,54.6869917,-2.3787056,1.2,1,6.5,9,34,Temperate Broadleaf & Mixed Forests,temp_broad
LEB,UK,3,54.6945611,-2.3822639,0.6,0.8,7,4.5,34,Temperate Broadleaf & Mixed Forests,temp_broad
LEB,UK,4,54.7008389,-2.383175,1.1,1,5.5,6,34,Temperate Broadleaf & Mixed Forests,temp_broad
LEVO,SE,1,55.9362361,13.8994333,3.05,1.4,28,35,41,Temperate Broadleaf & Mixed Forests,temp_broad
LEVO,SE,2,55.8991806,13.9904778,2,4.5,15,18,41,Temperate Broadleaf & Mixed Forests,temp_broad
LEVO,SE,3,55.9298472,13.5720833,3.2,2.5,26,36,41,Temperate Broadleaf & Mixed Forests,temp_broad
LEVO,SE,4,55.8928694,13.6232528,1.45,1.4,36,55,41,Temperate Broadleaf & Mixed Forests,temp_broad
LGL,ES,1,42.4377333,-8.377475,7.1,6.4,51,40,34,Temperate Broadleaf & Mixed Forests,temp_broad
LGL,ES,2,42.3885861,-8.3773,8.5,9.1,32,37,34,Temperate Broadleaf & Mixed Forests,temp_broad
LGL,ES,3,42.3507222,-8.3775472,11.3,10.7,65,63,34,Temperate Broadleaf & Mixed Forests,temp_broad
LGL,ES,4,42.3136833,-8.4864972,6.4,5.9,36,40,34,Temperate Broadleaf & Mixed Forests,temp_broad
LH,BR,1,-27.6044444,-52.2688889,1.3,1,11,9,34,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
LH,BR,2,-27.5013889,-51.9491667,0.75,0.9,6,10,31,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
LH,BR,3,-27.5147222,-52.3325,1.2,1.35,13,10,34,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
LH,BR,4,-27.4966667,-51.9333333,0.8,0.95,8,13,31,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
LR,UY,1,-34.3911667,-54.4967222,2.5,3,20,15,31,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
LR,UY,2,-34.674,-54.3688333,25,25,20,45,31,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
LR,UY,3,-34.2503333,-54.2138056,0.5,2,12,16,31,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
LR,UY,4,-34.0775556,-53.934,1,4.4,10,30,31,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
LUZB,ES,1,43.2124167,-3.2709333,2.3,1.8,8,15,32,Temperate Broadleaf & Mixed Forests,temp_broad
LUZB,ES,2,43.2091,-3.26715,2.6,2.2,11,10,32,Temperate Broadleaf & Mixed Forests,temp_broad
LUZB,ES,3,43.2084667,-3.26715,1.3,2.1,15,15,32,Temperate Broadleaf & Mixed Forests,temp_broad
LUZB,ES,4,43.3089167,-3.2606,2.3,3.5,15,15,32,Temperate Broadleaf & Mixed Forests,temp_broad
MANG,PT,1,37.6815333,-8.1181333,1.9,2.1,10,13,27,"Mediterranean Forests, Woodlands & Scrub",mediter
MANG,PT,2,37.5162861,-8.0103889,5.6,5.2,18,12,27,"Mediterranean Forests, Woodlands & Scrub",mediter
MANG,PT,3,37.617225,-7.6838,5,2,15,10,27,"Mediterranean Forests, Woodlands & Scrub",mediter
MANG,PT,4,37.5175194,-7.5791667,4,4,8,10,27,"Mediterranean Forests, Woodlands & Scrub",mediter
MB,BR,1,-10.2623333,-48.13755,1.86,2.3,29,41.5,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
MB,BR,2,-10.2848167,-48.1595167,3.1,2.32,42,36,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
MB,BR,3,-10.27965,-48.1954,0.96,1.79,8,16,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
MB,BR,4,-10.2476833,-48.1150333,2.09,2.13,22.5,54,21,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
MC,BR,1,-19.2105556,-46.9919444,3.9,3.9,65,65,28,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
MC,BR,2,-19.1644444,-47.0116667,5.2,5.2,22,22,28,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
MC,BR,3,-19.1316667,-47.0480556,3.35,3.35,19.5,19.5,28,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
MC,BR,4,-19.1233333,-46.8252778,3.4,3.4,21.5,21.5,28,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
MD,AU,1,-13.113412,130.799162,3.5,4.5,20,20,22,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
MD,AU,2,-13.10193,130.781625,1.8,2,20,15,22,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
MD,AU,3,-13.096206,130.782785,3.5,4,40,35,22,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
MD,AU,4,-13.187592,130.721831,2,1.5,10,10,22,"Tropical & Subtropical Grasslands, Savannas & Shrublands",trop_grass
MG,AU,1,-37.87565,145.371025,0.67,1.04,9,12,30,Temperate Broadleaf & Mixed Forests,temp_broad
MG,AU,2,-37.8995222,145.3564639,1.73,2.34,5,8,30,Temperate Broadleaf & Mixed Forests,temp_broad
MG,AU,3,-37.8651361,145.4110667,0.86,0.7,7,7,30,Temperate Broadleaf & Mixed Forests,temp_broad
MG,AU,4,-37.8489,145.3467194,1,0.84,5,8.5,30,Temperate Broadleaf & Mixed Forests,temp_broad
MIDA,FR,1,49.373034,1.496544,2.5,2.4,10,11,31,Temperate Broadleaf & Mixed Forests,temp_broad
MIDA,FR,2,49.413176,1.617605,2.45,2.4,14,20,31,Temperate Broadleaf & Mixed Forests,temp_broad
MIDA,FR,3,49.232267,1.867017,0.5,0.65,16,15,31,Temperate Broadleaf & Mixed Forests,temp_broad
MIDA,FR,4,49.111616,1.849061,1.2,1.35,15,11,31,Temperate Broadleaf & Mixed Forests,temp_broad
MINI,FI,1,61.5324389,23.5449806,0.6,1.4,5,30,39,Boreal Forests/Taiga,taiga
MINI,FI,2,61.5049444,23.450375,1.5,1.5,15,12,38,Boreal Forests/Taiga,taiga
MINI,FI,3,61.5769,24.1259917,0.5,0.5,10,10,36,Boreal Forests/Taiga,taiga
MINI,FI,4,61.50585,23.9314528,1.5,0.95,20,10,37,Boreal Forests/Taiga,taiga
MM,HR,1,44.8329139,15.5568778,4,5.4,13,24,33,Temperate Broadleaf & Mixed Forests,temp_broad
MM,HR,2,44.8714667,15.5997194,2.2,2.4,9,11,33,Temperate Broadleaf & Mixed Forests,temp_broad
MM,HR,3,45.8564167,15.9639917,1.4,1.3,11,16,27,Temperate Broadleaf & Mixed Forests,temp_broad
MM,HR,4,45.8580028,15.9349806,1.2,1.9,11,8,27,Temperate Broadleaf & Mixed Forests,temp_broad
NG,US,1,47.504222,-93.454358,0.3,0.3,17,17,33,Temperate Broadleaf & Mixed Forests,temp_broad
NG,US,2,47.514601,-93.472058,0.3,0.4,6,5,33,Temperate Broadleaf & Mixed Forests,temp_broad
NG,US,3,47.52327,-93.462401,1.8,1.1,17,12,33,Temperate Broadleaf & Mixed Forests,temp_broad
NG,US,4,47.519712,-93.469765,0.3,0.3,2,3,33,Temperate Broadleaf & Mixed Forests,temp_broad
PEGS,GT,1,15.94825,-90.67535,5.63,5.21,10.4,38.41,25,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
PEGS,GT,2,15.94037,-90.67632,3.77,3.87,7.47,15.53,25,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
PEGS,GT,3,15.90793,-90.6682,8.67,10.37,43.05,22.13,25,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
PEGS,GT,4,15.92172,-90.65257,8.9,3.2,41.13,51.27,25,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
PEMC,US,1,43.42873,-89.81822,5.2,2,14,24,34,Temperate Broadleaf & Mixed Forests,temp_broad
PEMC,US,2,43.38441,-89.79604,5.7,4.6,19,20,34,Temperate Broadleaf & Mixed Forests,temp_broad
PEMC,US,3,43.1018,-90.1572,1,1,26,22,34,Temperate Broadleaf & Mixed Forests,temp_broad
PEMC,US,4,43.11382,-90.05852,2.7,3.8,21,19,34,Temperate Broadleaf & Mixed Forests,temp_broad
PF,CA,1,44.22385,-79.42123333,3.7,3.6,45,70,38,Temperate Broadleaf & Mixed Forests,temp_broad
PF,CA,2,44.06103056,-79.62886944,4,8.4,10,20,38,Temperate Broadleaf & Mixed Forests,temp_broad
PF,CA,3,44.02475,-79.96975,7.5,2.5,15,15,34,Temperate Broadleaf & Mixed Forests,temp_broad
PF,CA,4,44.13008,-79.72736,5,5.2,75,100,35,Temperate Broadleaf & Mixed Forests,temp_broad
PF,CA,5,44.58750556,-79.66553333,1.2,2,10,10,34,Temperate Broadleaf & Mixed Forests,temp_broad
PF,CA,6,44.5119,-79.50206667,28,28,12,12,38,Temperate Broadleaf & Mixed Forests,temp_broad
PF,CA,7,44.4351,-79.1271,6.6,8.9,30,10,38,Temperate Broadleaf & Mixed Forests,temp_broad
PF,CA,8,44.24166667,-78.98166667,5.6,6.2,45,20,38,Temperate Broadleaf & Mixed Forests,temp_broad
PF,CA,9,44.4593,-78.81985,6.8,5.9,10,35,36,Temperate Broadleaf & Mixed Forests,temp_broad
PF,CA,10,44.46181,-78.62283,2.75,1.5,25,15,35,Temperate Broadleaf & Mixed Forests,temp_broad
PF,CA,11,44.58538333,-78.59411667,12.5,8.8,80,40,36,Temperate Broadleaf & Mixed Forests,temp_broad
PF,CA,12,44.427347,-78.135899,18.5,20.5,35,20,36,Temperate Broadleaf & Mixed Forests,temp_broad
PILI,US,1,21.44761,-157.85721,4,5,20,20,22,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
PILI,US,2,21.4951,-157.85899,3,8,20,10,22,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
PILI,US,3,21.56833,-157.89384,12,12,30,30,22,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
PILI,US,4,21.63352,-158.05266,6,7,25,25,22,Tropical & Subtropical Dry Broadleaf Forests,trop_dry
PL,CA,1,50.3968528,-104.4860861,13.9,15.9,72,102,34,"Temperate Grasslands, Savannas & Shrublands",temp_grass
PL,CA,2,50.2872778,-105.1451194,9.2,6,110,115,34,"Temperate Grasslands, Savannas & Shrublands",temp_grass
PL,CA,3,50.5727667,-103.4106361,29,31,120,120,34,"Temperate Grasslands, Savannas & Shrublands",temp_grass
PL,CA,4,50.8338139,-104.3246333,11,2.25,90,70,34,"Temperate Grasslands, Savannas & Shrublands",temp_grass
PW,US,1,41.180475,-75.2899889,4.72,4.95,16,12.4,28,Temperate Broadleaf & Mixed Forests,temp_broad
PW,US,2,41.1276306,-75.231475,30.2,29.72,12.5,21.6,28,Temperate Broadleaf & Mixed Forests,temp_broad
PW,US,3,41.072724,-75.218941,26.26,11.33,25,18,28,Temperate Broadleaf & Mixed Forests,temp_broad
PW,US,4,41.1355167,-75.1061806,32.69,27.23,13,31,28,Temperate Broadleaf & Mixed Forests,temp_broad
RALB,AR,1,-40.7781833,-71.1262167,1.3,1,8.7,10.5,40,Temperate Broadleaf & Mixed Forests,temp_broad
RALB,AR,2,-40.7532167,-71.1205167,1.8,1.3,8.3,9.8,40,Temperate Broadleaf & Mixed Forests,temp_broad
RALB,AR,3,-40.8217,-71.1061,1.6,1,8.1,12.5,40,"Temperate Grasslands, Savannas & Shrublands",temp_grass
RALB,AR,4,-40.7163167,-71.0999833,3.6,3.4,13.9,12.4,40,"Temperate Grasslands, Savannas & Shrublands",temp_grass
RIPA,FI,1,66.3262333,29.552,1.1,1,16,17,31,Boreal Forests/Taiga,taiga
RIPA,FI,2,66.3387083,29.52005,3.2,1.5,24,28,31,Boreal Forests/Taiga,taiga
RIPA,FI,3,66.3794417,29.4235083,3.9,6.2,30,22,31,Boreal Forests/Taiga,taiga
RIPA,FI,4,66.3398,29.3286333,2.5,1.5,28,30,31,Boreal Forests/Taiga,taiga
ROMO,US,1,45.0157683,-87.147135,3.5,3.75,17.5,15,34,Temperate Broadleaf & Mixed Forests,temp_broad
ROMO,US,2,44.9855517,-87.191485,2.5,3.5,25,16.5,34,Temperate Broadleaf & Mixed Forests,temp_broad
ROMO,US,3,45.0972017,-87.0821683,3.5,2.5,45.75,33,34,Temperate Broadleaf & Mixed Forests,temp_broad
ROMO,US,4,45.1240517,-87.2387517,3,3,17,18,34,Temperate Broadleaf & Mixed Forests,temp_broad
RS,SE,1,64.252197,19.7763,0.17,0.18,2.5,6,36,Boreal Forests/Taiga,taiga
RS,SE,2,64.259399,19.773899,0.53,0.85,5.5,5,36,Boreal Forests/Taiga,taiga
RS,SE,3,64.260803,19.760401,0.65,0.3,45,10,36,Boreal Forests/Taiga,taiga
RS,SE,4,64.198097,19.869101,4.5,6,60,30,36,Boreal Forests/Taiga,taiga
SDG,IN,1,12.5839167,75.4629833,1,1.2,55,60,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
SDG,IN,2,12.65185,75.6211833,1.2,1.3,50,65,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
SDG,IN,3,12.6393333,75.5782833,1.4,1.8,55,75,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
SDG,IN,4,12.6437333,75.5754333,2.1,2.2,80,90,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
SE,US,1,35.586,-92.682,4,4,20,20,31,Temperate Broadleaf & Mixed Forests,temp_broad
SE,US,2,35.587806,-92.69826638,3,3,7.5,7.5,31,Temperate Broadleaf & Mixed Forests,temp_broad
SE,US,3,35.5688,-92.674,2.5,2.5,6,6,31,Temperate Broadleaf & Mixed Forests,temp_broad
SE,US,4,35.5651,-92.6645,3,3,10,10,31,Temperate Broadleaf & Mixed Forests,temp_broad
SH,CA,1,49.65759,-93.73246,0.5,0.5,14,10,26,Temperate Broadleaf & Mixed Forests,temp_broad
SH,CA,2,49.64864,-93.72581,0.6,0.4,10,8,26,Temperate Broadleaf & Mixed Forests,temp_broad
SI,AU,1,-37.8746,145.36,1.79,2.24,10.5,9.5,21,Temperate Broadleaf & Mixed Forests,temp_broad
SI,AU,2,-37.8303,145.397,1.34,1.2,2.5,3.2,21,Temperate Broadleaf & Mixed Forests,temp_broad
SI,AU,3,-37.8298,145.397,2.2,2.93,12.5,8,21,Temperate Broadleaf & Mixed Forests,temp_broad
SI,AU,4,-37.8581,145.323,0.57,1.19,5,3.8,21,Temperate Broadleaf & Mixed Forests,temp_broad
SK,NL,1,52.00309,5.73516,1.1,1.1,20,20,34,Temperate Broadleaf & Mixed Forests,temp_broad
SK,NL,2,51.990251,5.785061,1.5,1.5,15,15,34,Temperate Broadleaf & Mixed Forests,temp_broad
SK,NL,3,51.977843,5.758026,1.8,1.8,40,40,34,Temperate Broadleaf & Mixed Forests,temp_broad
SK,NL,4,51.988664,5.728783,2.85,2.85,15,15,34,Temperate Broadleaf & Mixed Forests,temp_broad
SL,CA,1,48.488655,-54.020952,1.6,1.2,9.3,6.8,36,Boreal Forests/Taiga,taiga
SL,CA,2,48.612927,-53.970698,1.5,1.2,9,13.7,36,Boreal Forests/Taiga,taiga
SL,CA,3,48.446114,-54.021368,2.8,4.8,15.3,11,36,Boreal Forests/Taiga,taiga
SL,CA,4,48.433979,-54.032012,1.1,1.4,9.3,9.3,36,Boreal Forests/Taiga,taiga
SM,SG,1,1.3202778,103.7695278,,,,,31,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
SM,SG,2,1.3243611,103.7625,,,,,31,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
SM,SG,3,1.3248611,103.7564444,,,,,31,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
SM,SG,4,1.3213611,103.7516667,,,,,31,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
ST,EC,1,-0.513158,-78.20542516,0.75,0.95,30,30,32,Montane Grasslands & Shrublands,mont_grass
ST,EC,2,-0.504707,-78.21576061,0.75,1.4,20,35,33,Montane Grasslands & Shrublands,mont_grass
ST,EC,3,-0.493211,-78.19976063,1.1,1.4,23,28,33,Montane Grasslands & Shrublands,mont_grass
ST,EC,4,-0.513162,-78.21610706,1.7,1.8,28,25,33,Montane Grasslands & Shrublands,mont_grass
SU,FI,1,61.3652778,25.2263889,1.5,1.7,25,25,34,Boreal Forests/Taiga,taiga
SU,FI,2,61.3869444,25.3202778,1,0.8,15,12,34,Boreal Forests/Taiga,taiga
SU,FI,3,61.3411111,25.1516667,0.9,0.7,12,5,34,Boreal Forests/Taiga,taiga
SU,FI,4,61.0877778,25.6344444,1.7,3,10,10,35,Boreal Forests/Taiga,taiga
SV,EE,1,58.268511,26.913609,5.2,3.9,17,17,34,Temperate Broadleaf & Mixed Forests,temp_broad
SV,EE,2,58.228419,26.742294,7.4,5.8,16,17,34,Temperate Broadleaf & Mixed Forests,temp_broad
SV,EE,3,58.1141,26.885656,4.9,4.3,18,17,34,Temperate Broadleaf & Mixed Forests,temp_broad
SV,EE,4,58.360699,26.367717,5,7.1,19,32,34,Temperate Broadleaf & Mixed Forests,temp_broad
SW,CL,1,-36.8795833,-72.9854333,5,4.3,40,49,34,Temperate Broadleaf & Mixed Forests,temp_broad
SW,CL,2,-36.8806278,-72.9853028,4.5,5,50,41,34,Temperate Broadleaf & Mixed Forests,temp_broad
SW,CL,3,-36.8806028,-72.9950889,1.5,1.7,16,15,33,Temperate Broadleaf & Mixed Forests,temp_broad
SW,CL,4,-36.8782222,-72.9939611,1.5,2,25,20,33,Temperate Broadleaf & Mixed Forests,temp_broad
TAHI,JP,1,32.3671667,131.1771639,2,2.7,14,19,37,Temperate Broadleaf & Mixed Forests,temp_broad
TAHI,JP,2,32.3677861,131.1724639,2.2,1.5,20,31,37,Temperate Broadleaf & Mixed Forests,temp_broad
TAHI,JP,3,32.3754806,131.1783417,2.1,2.2,20,16,37,Temperate Broadleaf & Mixed Forests,temp_broad
TAHI,JP,4,32.3765083,131.1721389,0.9,1.7,15,13,37,Temperate Broadleaf & Mixed Forests,temp_broad
TF,PL,1,50.0615504,19.718899,3.6,3,3.5,20,28,Temperate Broadleaf & Mixed Forests,temp_broad
TF,PL,2,49.842415,20.062902,1,1,3,1.5,28,Temperate Conifer Forests,temp_conif
TF,PL,3,49.910985,20.113343,1,1.5,10.5,6,28,Temperate Conifer Forests,temp_conif
TF,PL,4,49.906734,20.145963,2.5,2,3.5,8,28,Temperate Conifer Forests,temp_conif
TI,JP,1,35.527458,138.655997,2.6,1.4,17,21,32,Temperate Broadleaf & Mixed Forests,temp_broad
TI,JP,2,35.825342,138.526582,3.7,4,30,19,33,Temperate Broadleaf & Mixed Forests,temp_broad
TI,JP,3,35.825661,138.520478,2.5,2.2,18,20,33,Temperate Broadleaf & Mixed Forests,temp_broad
TI,JP,4,35.859703,138.56855,3.8,4.4,34,21,33,Temperate Broadleaf & Mixed Forests,temp_broad
TIMO,FI,1,65.497,27.546,1.5,2.3,26,17,28,Boreal Forests/Taiga,taiga
TIMO,FI,2,65.66,28.404,6.4,5.5,30,35,28,Boreal Forests/Taiga,taiga
TIMO,FI,3,65.634,28.261,1.8,1.7,39,42,28,Boreal Forests/Taiga,taiga
TIMO,FI,4,65.532,28.073,1.9,1.6,18,34,28,Boreal Forests/Taiga,taiga
TM,BR,1,-23.1809,-44.1944667,1,1.2,23,21,39,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
TM,BR,2,-23.1836167,-44.19405,5,7,20,35,38,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
TM,BR,3,-23.1822167,-44.2022833,5,8.5,39,35,38,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
TM,BR,4,-23.18655,-44.1998833,6.5,10,39,30,38,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
TR,US,1,39.2950222,-86.7300333,5,4,16,12,28,Temperate Broadleaf & Mixed Forests,temp_broad
TR,US,2,39.3070806,-86.7188417,2.4,2.1,15,9,28,Temperate Broadleaf & Mixed Forests,temp_broad
TR,US,3,39.3200528,-86.4491944,2,1.8,11,9,28,Temperate Broadleaf & Mixed Forests,temp_broad
TR,US,4,39.31915,-86.4431722,4.5,2.5,21,14,28,Temperate Broadleaf & Mixed Forests,temp_broad
VCP,EC,1,-0.4231333,-79.0032167,1.09,1.5,11,12,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
VCP,EC,2,-0.4219167,-79.0036833,0.75,0.8,7,9,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
VCP,EC,3,-0.4230333,-79.0047667,0.98,0.6,4,8,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
VCP,EC,4,-0.4230333,-79.00495,0.66,0.57,9,9,21,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
VDV,AR,1,-41.13655,-71.3523,1.1,1,8,7.6,40,Temperate Broadleaf & Mixed Forests,temp_broad
VDV,AR,2,-41.1414333,-71.4075333,0.9,1.2,8.3,7.2,40,Temperate Broadleaf & Mixed Forests,temp_broad
VDV,AR,3,-41.23665,-71.43175,1.9,1.8,11.4,13.8,40,Temperate Broadleaf & Mixed Forests,temp_broad
VDV,AR,4,-41.2449667,-71.4392167,1.1,0.9,5.9,4.5,40,Temperate Broadleaf & Mixed Forests,temp_broad
VF,PT,1,40.0647972,-8.3015139,2.4,2.96,16,14,34,"Mediterranean Forests, Woodlands & Scrub",mediter
VF,PT,2,40.0684444,-8.2113056,2.2,1.5,13,10,34,"Mediterranean Forests, Woodlands & Scrub",mediter
VF,PT,3,40.0788194,-8.2083583,1.5,1.4,27,8,34,"Mediterranean Forests, Woodlands & Scrub",mediter
VF,PT,4,40.0896167,-8.2013194,1.9,2.59,13,10,34,"Mediterranean Forests, Woodlands & Scrub",mediter
VG,US,1,33.794982,-79.013281,2.15,1.82,8,12,30,Temperate Conifer Forests,temp_conif
VG,US,2,33.785761,-79.036187,0.52,0.55,11,10,30,Temperate Conifer Forests,temp_conif
VG,US,3,33.785393,-79.031565,2.1,2.35,27,24,30,Temperate Conifer Forests,temp_conif
VG,US,4,33.802572,-78.874103,2.8,3.05,32,29,30,Temperate Conifer Forests,temp_conif
VNL,BR,1,-22.4916667,-42.8633333,5.7,6.4,22,20,25,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
VNL,BR,2,-22.4451667,-42.7066667,3.2,3.5,25,25,25,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
VNL,BR,3,-22.43,-42.7133333,1.5,2.2,25,25,25,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
VNL,BR,4,-22.455,-42.6798333,1.6,3.4,12,10,25,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
WC,US,1,45.64032,-111.03074,5.4,5.4,15.8,15.8,42,"Temperate Grasslands, Savannas & Shrublands",temp_grass
WC,US,2,45.441018,-111.228147,6,6,10.5,10.5,42,Temperate Conifer Forests,temp_conif
WC,US,3,45.223194,-111.239819,6.3,6.3,7.5,7.5,42,Temperate Conifer Forests,temp_conif
WC,US,4,45.269176,-111.320714,4.5,4.5,7.4,7.4,42,Temperate Conifer Forests,temp_conif
YM,JP,1,33.934071,132.897478,2.2,2.7,15,25,37,Temperate Broadleaf & Mixed Forests,temp_broad
YM,JP,2,33.932101,132.910187,2.7,1.6,13,16,37,Temperate Broadleaf & Mixed Forests,temp_broad
YM,JP,3,33.921034,132.909194,3.4,3.5,23,22,37,Temperate Broadleaf & Mixed Forests,temp_broad
YM,JP,4,33.916005,132.908928,2.8,1.9,20,15,37,Temperate Broadleaf & Mixed Forests,temp_broad
YZ,CN,1,30.1181417,118.0239425,9,14.5,60,34.7,35,Temperate Broadleaf & Mixed Forests,temp_broad
YZ,CN,2,30.1175208,117.9866878,10.6,6.7,21.25,16,35,Temperate Broadleaf & Mixed Forests,temp_broad
YZ,CN,3,30.1154836,118.0572664,6,7.1,19.17,15.2,35,Temperate Broadleaf & Mixed Forests,temp_broad
YZ,CN,4,30.1155558,118.0876481,7.5,7,30,12,35,Temperate Broadleaf & Mixed Forests,temp_broad
