,str.part,biome_short,Stream.index,k
514,JESM 4,tund,237,0.002264906
508,JESM 11,tund,238,0.003553601
509,JESM 12,tund,239,0.004630064
510,JESM 13,tund,240,0.003938887
511,JESM 14,tund,241,0.00424593
412,JFGJ 1,trop_grass,242,0.010420431
413,JFGJ 2,trop_grass,243,0.010113116
414,JFGJ 3,trop_grass,244,0.012859592
415,JFGJ 4,trop_grass,245,0.004922967
188,JH 1,temp_broad,246,0.104712401
189,JH 2,temp_broad,247,0.002703251
190,JH 3,temp_broad,248,0.106419657
191,JH 4,temp_broad,249,0.007323053
192,JN 1,temp_broad,250,0.039365557
193,JN 2,temp_broad,251,0.045351463
194,JN 3,temp_broad,252,0.032907063
195,JN 4,temp_broad,253,0.060626085
196,JOCU 1,temp_broad,254,0.005234751
197,JOCU 2,temp_broad,255,0.010347336
198,JOCU 3,temp_broad,256,0.005136805
199,JOCU 4,temp_broad,257,0.006324547
349,JOHU 1,temp_conif,258,0.034755815
350,JOHU 2,temp_conif,259,0.065141283
351,JOHU 3,temp_conif,260,0.034800527
352,JOHU 4,temp_conif,261,0.027041032
353,JORI 1,temp_conif,262,0.006168598
354,JORI 2,temp_conif,263,0.002698499
355,JORI 3,temp_conif,264,0.002713888
356,JORI 4,temp_conif,265,0.002319237
200,JPM 1,temp_broad,266,0.003617015
201,JPM 2,temp_broad,267,0.043172391
202,JPM 3,temp_broad,268,0.027104112
203,JPM 4,temp_broad,269,0.045874241
460,JR 1,trop_wet,270,0.00346431
461,JR 2,trop_wet,271,0.026483921
462,JR 3,trop_wet,272,0.00456303
463,JR 4,trop_wet,273,0.015559873
357,JS 1,temp_conif,274,0.007849702
358,JS 2,temp_conif,275,0.026149788
359,JS 3,temp_conif,276,0.028680053
9,JS 4,desert,277,0.008458959
204,JT 1,temp_broad,278,0.062550869
205,JT 2,temp_broad,279,0.098732025
206,JT 3,temp_broad,280,0.072806926
207,JT 4,temp_broad,281,0.062153175
360,JUCO 1,temp_conif,282,0.003545757
361,JUCO 2,temp_conif,283,0.003322053
362,JUCO 3,temp_conif,284,0.002643196
363,JUCO 4,temp_conif,285,0.003189858
