Genus,Latitude.2,Longitude.2,mesh.size.category,Land.use,LandCat,Leaf.condition,kd,pred_kd,ln_kd,ln_pred_kd,Average.of.nn.dists,N_Leaf_Mn,N_Leaf_Med,P_Leaf_Mn,P_Leaf_Med,NtoP_Leaf_Mn,NtoP_Leaf_Med,Thick_Mn,Thick_Med,C_Leaf_Mn,C_Leaf_Med,CtoN_Leaf_Mn,CtoN_Leaf_Med,Ca_Leaf_Mn,Ca_Leaf_Med,N_Litter_Mn,N_Litter_Med,CtoN_Litter_Mn,C_Litter_Mn,P_Litter_Mn,Lignin_Litter_Mn,Cellulose_Litter_Mn
Acer,33.45,-84.23,coarse,forest - unspecified,Natural,senesced,0.01,0.010024344,-4.605170186,-4.602738744,2.388515329,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35,-83.25,coarse,forest - unspecified,Natural,senesced,0.00685,0.01165915,-4.983506627,-4.451664,2.73112429,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,51.57,-8.06,coarse,forest - unspecified,Natural,senesced,0.0194,0.027519772,-3.942482213,-3.592850551,2.355368091,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,46.13,-89.32,coarse,forest - unspecified,Natural,green ,0.134,0.006759665,-2.009915479,-4.996781946,0.184927664,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,41.46,-86.17,coarse,forest - unspecified,Natural,senesced,0.0215,0.041323757,-3.839702344,-3.186317714,2.1580833,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35.11,-83.363,coarse,forest - unspecified,Natural,senesced,0.02465,0.0186809,-3.702978378,-3.980253667,2.887240897,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35.0307,-83.2549,coarse,forest - unspecified,Natural,senesced,0.0107,0.011579063,-4.537511538,-4.458556725,2.758524203,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35.0246,-83.2653,coarse,forest - unspecified,Natural,senesced,0.0059,0.013833671,-5.132802928,-4.280649731,2.759960351,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,43.41,-92.03,fine,forest-agriculture,Natural,senesced,0.049333333,0.037308192,-3.009155294,-3.288542352,1.897990274,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,43.41,-92.03,coarse,forest-agriculture,Natural,senesced,0.016666667,0.037308192,-4.094344562,-3.288542352,1.897990274,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,47.4751,8.1928,coarse,managed conifer forests ,Natural,senesced,0.0122,0.017485139,-4.406319327,-4.046403959,0.442310916,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,47.4751,8.1928,fine,managed conifer forests ,Natural,senesced,0.0085,0.017485139,-4.767689115,-4.046403959,0.442310916,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35,-83.25,coarse,old growth forest,Natural,senesced,0.01285,0.01165915,-4.354411468,-4.451664,2.73112429,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35,-83.3,coarse,old growth forest,Natural,senesced,0.008,0.017861935,-4.828313737,-4.025083367,2.761790059,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,38.334,-79.54,coarse,secondary forest,Natural,senesced,0.007566667,0.009491272,-4.884002643,-4.65738264,1.459821801,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,45.23,25.33,coarse,secondary forest,Natural,senesced,0.0067,0.014760024,-5.005647753,-4.215832834,0.263098781,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
